manufacturer,calories,protein,fat,sodium,fiber,carbo,rating
General Mills,110,2,2,180,1.5,10.5,29.509541
Kelloggs,110,2,0,125,1,11,33.174094
American Home Food Products,100,4,1,,0,16,54.850917
General Mills,120,3,2,210,2,18,37.038562
General Mills,11,-1,2,290,2,17,50.764999
Kelloggs,100,2,0,290,1,21,
Kelloggs,110,1,0,90,1,13,35.782791
General Mills,110,1,1,180,0,12,22.396513
Kelloggs,110,3,3,140,4,10,40.448772
Kelloggs,110,2,0,220,1,21,46.895644
General Mills,100,2,1,140,2,11,36.176196
Kelloggs,110,1,0,200,1,14,31.435973
Kelloggs,100,3,0,,3,14,58.345141
Kelloggs,120,3,0,240,5,14,
General Mills,110,1,1,280,0,15,23.804043
General Mills,110,3,1,250,1.5,11.5,31.072217
Kelloggs,430,2,1,170,1,17,36.523683
Kelloggs,120,3,1,170,2,20,36.471512
