calories,fat
70,1
120,5
70,1
50,0
110,2
110,2
110,0
130,2
90,1
90,0
120,2
110,2
120,3
110,2
110,1
110,0
100,0
110,0
110,1
110,3
100,0
110,0
100,1
100,0
110,1
110,0
100,0
120,2
120,0
110,1
100,0
110,1
100,1
110,0
120,3
120,2
110,1
110,0
110,1
140,1
110,1
100,2
110,1
100,1
150,3
150,3
160,2
100,1
120,1
140,2
90,0
130,2
120,1
100,0
50,0
50,0
100,1
100,2
120,1
100,2
90,0
110,0
110,0
80,0
90,0
90,0
110,1
110,0
90,0
110,1
140,1
100,1
110,1
110,1
100,1
100,1
110,1
